"c13"	"n15"	"source"	"subsource"
45	5	"plants"	1
46	4	"plants"	1
47	3	"plants"	1
45	5	"plants"	1
45	6	"plants"	1
45	5	"plants"	1
42	5	"plants"	1
40	5	"plants"	1
45	4	"plants"	1
46	5	"plants"	1
48	5	"plants"	1
50	4	"plants"	1
45	3	"plants"	1
42	4	"plants"	1
42	5	"plants"	1
42	4	"plants"	1
41	5	"plants"	1
49	4	"plants"	1
45	5	"plants"	1
44	5	"plants"	1
43	5	"plants"	1
42	5	"plants"	1
43	3	"plants"	1
68	4	"plants"	1
42	4	"plants"	1
41	5	"plants"	1
40	5	"plants"	1
42	6	"plants"	1
45	5	"plants"	1
45	5	"plants"	1
40	13	"animals"	1
44	13	"animals"	1
42	12	"animals"	1
42	13	"animals"	1
40	12	"animals"	1
40	13	"animals"	1
41	12	"animals"	1
41	12	"animals"	1
42	12	"humans"	1
42	12	"humans"	1
42	13	"humans"	1
40	13	"humans"	1
41	13	"humans"	1
41	13	"humans"	1
44	12	"humans"	1
41	13	"humans"	1
42	14	"humans"	1
43	13	"humans"	1
